Country,Desktop - School %,Desktop - Home %,Laptop - School %,Laptop - Home %,Tablet - School %,Tablet - Home %,Cell phone with Internet %,Internet - School %,Internet - Home %,Mean: Math Score,Mean: Science Score,Mean: Reading Score,Norm Math,Norm Science,Norm Reading
Australia,0.680584401633,0.631239704934,0.749767241997,0.844875743035,0.100408221729,0.390245649216,0.790088089952,0.932034663038,0.936116880327,496.719063819,515.331148757,505.540753993,0.601514605286,0.749857223119,0.741426710054
Austria,0.771850899743,0.854755784062,0.174164524422,0.837617823479,0.0293487574979,0.233718937446,0.800771208226,0.766281062554,0.970651242502,509.719912918,509.711221101,492.878071401,0.672821965347,0.709893583847,0.650059482047
Belgium,0.645239307536,0.840758655804,0.141929735234,0.837958248473,0.0506619144603,0.376272912424,0.749618126273,0.634928716904,0.976196537678,527.386808885,518.741669705,520.716503157,0.769721767991,0.774109640091,0.850926898819
Chile,0.553257958941,0.582713478132,0.203510859863,0.697262719429,0.0725974412377,0.20574233859,0.567985718536,0.649955370425,0.805266289795,445.48558069,465.83029518,461.181704359,0.320508003271,0.397853713991,0.421355242359
China,0.71132345915,0.816626851409,0.0570950788342,0.438222646918,0.0298614429049,0.214572384138,0.628858098423,0.6303870043,0.925131390349,567.629425423,543.705385499,535.762149603,0.99044540884,0.95162810544,0.959488335106
Costa Rica,0.491853600945,0.530342384888,0.270602125148,0.484769775679,0.045572609209,0.102007083825,0.705312868949,0.507438016529,0.677449822904,408.144146423,432.797128501,442.784654073,0.115696834536,0.162952904239,0.288611846484
Croatia,0.750654055142,0.843831756893,0.158381968203,0.579794727309,0.0482994566311,0.148520829141,0.872408935399,0.72730931777,0.937613201851,470.623628497,490.995151519,485.299635279,0.458385753602,0.576802501699,0.595377490604
Czech Republic,0.788554801164,0.747041707081,0.113094083414,0.668477206596,0.0217264791465,0.115615906887,0.575169738118,0.795732298739,0.970320077595,521.305134976,529.534937614,514.602416295,0.736364861229,0.850861209093,0.806810878037
Denmark,0.616870668043,0.426633239935,0.701961362631,0.934522931721,0.215307476773,0.340952661849,0.849579708008,0.94366612594,0.977436956201,492.568768397,490.147110633,491.439760832,0.578750968254,0.570772032597,0.639681392825
Estonia,0.541418861512,0.689252336449,0.114910790144,0.70836873407,0.0439677145285,0.125955819881,0.704333050127,0.702633814783,0.976635514019,523.167432201,544.669698131,519.524040442,0.74657923244,0.958485389824,0.842322717834
Finland,0.836333878887,0.581833060556,0.33282674772,0.790974982464,0.0481646013561,0.166822539163,0.709609539397,0.87432779986,0.981178396072,511.525711351,532.794735223,515.612559411,0.682726450672,0.874041823458,0.814099537112
Germany,0.657308809293,0.819699903195,0.181752178122,0.7894482091,0.0249273959342,0.216360116167,0.630445304937,0.647144240077,0.962003872217,524.740658059,535.522908761,520.197166384,0.755208098285,0.893442027482,0.847179639029
Greece,0.596973317403,0.658303464755,0.191358024691,0.634408602151,0.0802469135802,0.162485065711,0.594782954998,0.676025487853,0.83950617284,455.497807368,469.233076205,480.048846117,0.375423297438,0.422051091914,0.557490569955
Hungary,0.726530612245,0.841675617615,0.0842105263158,0.489151450054,0.0627282491944,0.125241675618,0.625563909774,0.681847475832,0.929752953813,488.033017658,505.548813104,499.588678904,0.553873176919,0.680294453418,0.698479680641
Iceland,0.748699112335,0.489745944291,0.291704928069,0.840220385675,0.0373431282522,0.254667891032,0.735537190083,0.764615855525,0.973676155494,496.830023814,482.626320539,487.477754821,0.602123201253,0.517291247658,0.611093650541
Ireland,0.601657235247,0.610751818917,0.114389652385,0.842158447858,0.0319320937753,0.400565885206,0.817502021019,0.603274050121,0.961600646726,501.708794543,523.009782559,524.558855012,0.628882396626,0.804460444033,0.878651279929
Israel,0.506605813116,0.841460485227,0.145808311314,0.629113619986,0.0768676435263,0.251020898391,0.669949555609,0.519577227961,0.925054047562,475.784890127,482.857795172,498.155453207,0.486694361652,0.518937277518,0.688138281167
Italy,0.648711392235,0.754188816365,0.124419621829,0.779187134109,0.0618397146895,0.302806002288,0.681784536707,0.552890115066,0.947883722495,494.010785422,501.963306305,498.14694034,0.58666017683,0.654797701664,0.688076856821
Japan,0.536368134587,0.447468250041,0.115454395514,0.537357743691,0.0534388916378,0.181758205509,0.81114959591,0.470559129144,0.784100280389,539.190273874,550.507732657,541.376704899,0.834461687788,1.0,1.0
Jordan,0.746760017876,0.750633099955,0.224191866528,0.481453895427,0.164754953076,0.269477133919,0.469238790407,0.496201400268,0.619246238641,387.050151557,409.881709638,402.785627246,0.0,0.0,0.0
Korea,0.384047856431,0.721236291127,0.0863409770688,0.31405782652,0.0231306081755,0.13519441675,0.867996011964,0.474775672981,0.905284147557,554.733424028,538.337467517,536.43832672,0.91971311991,0.913456521927,0.96436727196
Latvia,0.452492944497,0.74082784572,0.128880526811,0.563969896519,0.0489181561618,0.166980244591,0.694026340546,0.628410159925,0.924741298213,496.007912065,507.095586783,496.414408584,0.597614063577,0.691293652893,0.675575822947
Liechtenstein,0.91095890411,0.893835616438,0.0924657534247,0.780821917808,0.0787671232877,0.352739726027,0.821917808219,0.856164383562,0.982876712329,537.86975274,525.544675685,518.425817466,0.827218862701,0.822486219576,0.83439852102
Mexico,0.572825323108,0.389287787589,0.129365394604,0.420361147606,0.0552415289193,0.12206300223,0.463869962419,0.492193467567,0.498793119252,420.706023016,421.600848504,431.618896893,0.184596507971,0.083335492356,0.208045641432
